n,d,r,c,t,p,sd,pd128,pd256
32,4,53822.000000,51661.458333,0.000020,157572,21745,2513,496,4560,4
64,4,243038.000000,224439.583333,0.000085,227838,87042,9666,2016,18336,4
128,4,985955.000000,952845.833333,0.000363,1067061,345813,35413,8128,73536,4
256,4,3156096.000000,2997637.500000,0.001156,2975382,1378939,135547,32640,294528,4
512,4,12220653.000000,10658483.333333,0.004185,10677589,5511739,534587,130816,1178880,4
1024,4,42010244.000000,40125800.000000,0.015488,40273727,22040530,2124754,523776,4717056,4
2048,4,171324673.000000,163324200.000000,0.063504,162208343,88137398,8459958,2096128,18871296,4
4096,4,665611169.000000,643970600.000000,0.243949,625304258,352512037,33773605,8386560,75491328,4
6144,4,1530666263.000000,1462630866.666667,0.561647,1451580860,793196526,76013550,18871296,169860096,4
8192,4,2678557777.000000,2570613066.666667,0.988995,2555080191,1410058325,135047253,33550336,301977600,4
10240,4,4212722948.000000,4026790733.333333,1.540696,3983853511,2203186062,210963342,52423680,471843840,4
12288,4,6070538737.000000,5857459400.000000,2.252191,5809756612,3172690021,303872101,75491328,679458816,4
14336,4,8271575059.000000,7913188400.000000,3.067099,7937973935,4318284229,413487557,102753280,924822528,4
