n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,66295.000000,67702.539062,0.000023,67243,97928,35595,0,1533,60800
64,20,292130.000000,289358.072917,0.000099,285854,392556,141919,0,6157,244480
128,20,1186867.000000,1179726.041667,0.000405,1283602,1571813,566712,0,24621,980480
256,20,4800825.000000,4820766.666667,0.001659,4798439,6289778,2264329,0,98409,3927040
512,20,17537310.000000,17584633.333333,0.006061,17519704,25162688,9050843,0,393445,15718400
1024,20,69649242.000000,69582600.000000,0.024093,69560980,100657161,36189751,0,1573330,62894080
2048,20,283876524.000000,285778566.666667,0.098015,279570120,402637452,144727751,0,6292421,251617280
4096,20,1137322995.000000,1146319733.333333,0.393730,1126297903,1610587680,578868858,0,25167782,1006551040
6144,20,2494777519.000000,2497101066.666667,0.864859,2489890561,3623833930,1302406588,0,56626062,2264801280
8192,20,4331723320.000000,4336864933.333334,1.493533,4321480858,6442404583,2315369345,0,100667238,4026368000
10240,20,7419041367.000000,7417331933.333333,2.550210,7324577637,10066267031,3617724490,0,157291341,6291251200
12288,20,11002012189.000000,10975953833.333332,3.779684,10975513315,14495443887,5209494622,0,226498385,9059450880
14336,20,14800705243.000000,14679813533.333334,5.073713,14580581077,19729928764,7090673452,0,308288272,12330967040
