n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,77988.000000,78575.651042,0.000027,79812,97928,35595,0,1533,60800
64,20,313828.000000,358504.947917,0.000108,310149,392556,141919,0,6157,244480
128,20,1206570.000000,1210991.666667,0.000416,1210744,1571813,566712,0,24621,980480
256,20,4181610.000000,4164520.833333,0.001460,4243751,6289778,2264329,0,98409,3927040
512,20,14716932.000000,14533591.666667,0.005017,14352905,25162688,9050843,0,393445,15718400
1024,20,54146315.000000,54195200.000000,0.018733,53881902,100657161,36189751,0,1573330,62894080
2048,20,223373901.000000,219076633.333333,0.079586,218426655,402637452,144727751,0,6292421,251617280
4096,20,894612184.000000,904907300.000000,0.307921,884536845,1610587680,578868858,0,25167782,1006551040
6144,20,2042077069.000000,2041861966.666667,0.702085,2018671376,3623833930,1302406588,0,56626062,2264801280
8192,20,3797974057.000000,3767912966.666667,1.290207,3743309429,6442404583,2315369345,0,100667238,4026368000
10240,20,5984905053.000000,6025366733.333334,2.090108,6024873834,10066267031,3617724490,0,157291341,6291251200
12288,20,8701460614.000000,8698326700.000000,3.012292,8585940545,14495443887,5209494622,0,226498385,9059450880
14336,20,12262144655.000000,12288442600.000000,4.215719,12031715345,19729928764,7090673452,0,308288272,12330967040
