n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,64858.000000,65129.166667,0.000023,127345,43236,17383,0,1533,24320
64,8,261470.000000,261105.729167,0.000090,260609,172635,68686,0,6157,97792
128,8,1342670.000000,1070643.750000,0.000373,1158239,689363,272550,0,24621,392192
256,8,3890073.000000,3886483.333333,0.001335,3660346,2755548,1086330,0,98402,1570816
512,8,13519118.000000,13617433.333333,0.004684,13376528,11015306,4334518,0,393428,6287360
1024,8,45801884.000000,46196033.333333,0.015959,65114850,44049095,17318148,0,1573315,25157632
2048,8,205600633.000000,205671866.666667,0.071787,174621460,176178518,69239242,0,6292364,100646912
4096,8,750787892.000000,751469266.666667,0.258840,744132148,704703530,276915435,0,25167679,402620416
6144,8,1579605591.000000,1579746966.666667,0.544702,1563277011,1585517933,622971531,0,56625890,905920512
8192,8,2927628793.000000,2926308800.000000,1.010121,2902987272,2818686404,1107472179,0,100667025,1610547200
10240,8,4945599003.000000,4932298733.333334,1.720960,4959202877,4404157559,1730365990,0,157291089,2516500480
12288,8,8519047105.000000,8412491100.000000,2.939776,8556150222,6341966308,2491687930,0,226498026,3623780352
14336,8,10424239399.000000,10430474466.666668,3.582655,10469591021,8632080816,3391406056,0,308287944,4932386816
