n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,67587.000000,67753.515625,0.000023,68350,38676,24983,12160,1533,0
64,8,321432.000000,321250.520833,0.000112,323146,154299,99246,48896,6157,0
128,8,1168691.000000,1169394.791667,0.000404,1287337,615827,395110,196096,24621,0
256,8,4499739.000000,4528470.833333,0.001553,4520000,2461020,1577210,785408,98402,0
512,8,16384362.000000,16908933.333333,0.005716,16409715,9836426,6299318,3143680,393428,0
1024,8,62151485.000000,62310366.666667,0.021487,61716140,39332039,25179908,12578816,1573315,0
2048,8,284207472.000000,286183600.000000,0.098319,282234502,157307222,100691402,50323456,6292364,0
4096,8,1076111642.000000,1080299300.000000,0.372945,1075669107,629212202,402734315,201310208,25167679,0
6144,8,2665595175.000000,2666033800.000000,0.915707,2644767712,1415657837,906071691,452960256,56625890,0
8192,8,4584959372.000000,4579742833.333334,1.583033,4553841531,2516708804,1610768179,805273600,100667025,0
10240,8,7359037312.000000,7390388033.333333,2.539933,7338156576,3932313719,2516772390,1258250240,157291089,0
12288,8,10525333109.000000,10561483900.000000,3.634579,10478413366,5662507492,3624119290,1811890176,226498026,0
14336,8,15047483798.000000,15049983066.666666,5.196048,14945812045,7707258288,4932776936,2466193408,308287944,0
