n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,153175.000000,152374.609375,0.000053,212151,43236,17383,0,1533,24320
64,8,726408.000000,727597.916667,0.000249,721881,172635,68686,0,6157,97792
128,8,2778226.000000,2786658.333333,0.000958,2764147,689363,272550,0,24621,392192
256,8,11531250.000000,11531366.666667,0.003976,11531376,2755548,1086330,0,98402,1570816
512,8,47202033.000000,46772166.666667,0.016158,46518318,11015306,4334518,0,393428,6287360
1024,8,154552010.000000,152017033.333333,0.052582,151984137,44049095,17318148,0,1573315,25157632
2048,8,639455017.000000,636957933.333333,0.217459,626653146,176178518,69239242,0,6292364,100646912
4096,8,2891858124.000000,2898312200.000000,0.999419,2882014296,704703530,276915435,0,25167679,402620416
6144,8,5103665456.000000,5080121400.000000,1.753190,5051494421,1585517933,622971531,0,56625890,905920512
8192,8,8973647509.000000,8970719833.333332,3.094457,8914179815,2818686404,1107472179,0,100667025,1610547200
10240,8,17001804528.000000,17013408733.333334,5.869233,16911000729,4404157559,1730365990,0,157291089,2516500480
12288,8,26776996590.000000,26773102566.666668,9.245695,26653561075,6341966308,2491687930,0,226498026,3623780352
14336,8,36593822791.000000,36639105566.666672,12.602661,36328705186,8632080816,3391406056,0,308287944,4932386816
