n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,89501.000000,89029.622396,0.000031,158490,63112,41595,20480,1037,0
64,20,330872.000000,328998.958333,0.000114,325306,251244,165183,81920,4141,0
128,20,1843439.000000,1459002.083333,0.000502,1448519,1002469,658296,327680,16493,0
256,20,6113336.000000,6119120.833333,0.002134,6190846,4004210,2627721,1310720,65769,0
512,20,23203426.000000,23232866.666667,0.008051,23101274,16004032,10498523,5242880,262629,0
1024,20,94751052.000000,95050400.000000,0.033153,95905511,63989769,41968695,20971520,1049554,0
2048,20,421744390.000000,420520300.000000,0.145144,388530694,255902348,167819975,83886080,4196293,0
4096,20,1693075380.000000,1679950666.666667,0.585225,1552216865,1023516192,671190650,335544320,16781222,0
6144,20,3723815963.000000,3742737100.000000,1.284865,3434408250,2302824778,1510095292,754974720,37754766,0
8192,20,6438805900.000000,6442142166.666667,2.223397,5948150636,4093856487,2684562305,1342177280,67116902,0
10240,20,10703691818.000000,10807726766.666668,3.702487,9980535119,6396578711,4194559050,2097152000,104867661,0
12288,20,15803620228.000000,15786150000.000000,5.428998,14720460503,9211014063,6040108126,3019898880,151007057,0
14336,20,21155483518.000000,21215679833.333336,7.328934,19834999804,12537156156,8221203244,4110417920,205534992,0
