n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,61000.000000,61318.196615,0.000021,61833,66184,24187,0,1037,40960
64,20,218616.000000,229379.427083,0.000075,358471,263528,95550,0,4138,163840
128,20,990819.000000,991800.000000,0.000342,991573,1051616,379775,0,16481,655360
256,20,4276628.000000,4262879.166667,0.001473,4232148,4200558,1513364,0,65754,2621440
512,20,15669243.000000,16030475.000000,0.005407,16263029,16789156,6040815,0,262581,10485760
1024,20,64879264.000000,65255800.000000,0.022528,65014544,67130731,24138224,0,1049467,41943040
2048,20,302660220.000000,309239566.666667,0.104938,272729896,268485234,96516982,0,4196092,167772160
4096,20,1217157849.000000,1219847300.000000,0.418802,1080746710,1073847025,385977482,0,16780903,671088640
6144,20,2680001582.000000,2677064433.333333,0.920631,2389675898,2416090280,868386489,0,37754351,1509949440
8192,20,4580101399.000000,4585416200.000000,1.587432,4147708493,4295206076,1543735204,0,67116312,2684354560
10240,20,7742159831.000000,7748034400.000000,2.676483,7079281049,6711181082,2412010170,0,104866912,4194304000
12288,20,11615512535.000000,11543440333.333332,3.989711,10585283050,9664056736,3473252827,0,151006149,6039797760
14336,20,15456978569.000000,15672160666.666666,5.407177,14380994908,13153778395,4727408593,0,205533962,8220835840
