n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,128,388881.000000,386636.458333,0.000133,462881,394927,262818,131072,1037,0
64,128,1498209.000000,1496248.958333,0.000517,1489153,1578448,1050019,524288,4141,0
128,128,6080751.000000,6071270.833333,0.002095,6043540,6310855,4197211,2097152,16492,0
256,128,24133650.000000,24135733.333333,0.008306,24125151,25238167,16783789,8388608,65770,0
512,128,97583047.000000,97707766.666667,0.033615,97207637,100938451,67121392,33554432,262627,0
1024,128,391224751.000000,391333733.333333,0.134490,391242817,403732325,268465025,134217728,1049572,0
2048,128,1617006746.000000,1619029400.000000,0.558229,1569646092,1614861188,1073793970,536870912,4196306,0
4096,128,6715482933.000000,6702969133.333333,2.315688,6520388860,6459348436,4295083517,2147483648,16781271,0
6144,128,15362743078.000000,15375005400.000000,5.306165,14943376835,14533426237,9663833220,4831838208,37754809,0
8192,128,27533831697.000000,27513818633.333332,9.496121,26769511816,25837126607,17180075044,8589934592,67116971,0
10240,128,43423890505.000000,43356566966.666672,14.982308,42170720680,40370437705,26843797156,13421772800,104867749,0
12288,128,62859319721.000000,62971952366.666664,21.729981,61375175446,58133414844,38655054865,19327352832,151007147,0
14336,128,86730097879.000000,86931482666.666656,29.986758,84649087901,79125955617,52613745794,26306674688,205535135,0
