n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,128,382410.000000,382920.833333,0.000132,462907,394927,262818,131072,1037,0
64,128,1531466.000000,1495252.083333,0.000523,1488886,1578448,1050019,524288,4141,0
128,128,6062129.000000,6056529.166667,0.002092,6037195,6310855,4197211,2097152,16492,0
256,128,24121349.000000,24052600.000000,0.008320,24089816,25238167,16783789,8388608,65770,0
512,128,97396239.000000,97112300.000000,0.033704,96889399,100938451,67121392,33554432,262627,0
1024,128,389125973.000000,389431333.333333,0.134849,386778565,403732325,268465025,134217728,1049572,0
2048,128,1629313186.000000,1622395333.333333,0.560638,1568067421,1614861188,1073793970,536870912,4196306,0
4096,128,6710823242.000000,6710060600.000000,2.317820,6528955620,6459348436,4295083517,2147483648,16781271,0
6144,128,15267610686.000000,15281714333.333334,5.280981,14870352780,14533426237,9663833220,4831838208,37754809,0
8192,128,27592971436.000000,27481220700.000000,9.503300,26728334778,25837126607,17180075044,8589934592,67116971,0
10240,128,43159030479.000000,43038250400.000000,14.868371,41835902831,40370437705,26843797156,13421772800,104867749,0
12288,128,63560089844.000000,63687423933.333336,21.844748,61560347954,58133414844,38655054865,19327352832,151007147,0
14336,128,86566353449.000000,86608847033.333344,29.882159,84450654871,79125955617,52613745794,26306674688,205535135,0
