n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,128,382598.000000,383464.583333,0.000133,462908,394927,262818,131072,1037,0
64,128,1521959.000000,1493802.083333,0.000519,1488965,1578448,1050019,524288,4141,0
128,128,6059864.000000,6067887.500000,0.002095,6051673,6310855,4197211,2097152,16492,0
256,128,24147546.000000,24118816.666667,0.008306,24285100,25238167,16783789,8388608,65770,0
512,128,98332484.000000,98109900.000000,0.034001,96752899,100938451,67121392,33554432,262627,0
1024,128,389473393.000000,389441000.000000,0.134142,386642327,403732325,268465025,134217728,1049572,0
2048,128,1621419638.000000,1615904166.666667,0.559245,1567305113,1614861188,1073793970,536870912,4196306,0
4096,128,6743777314.000000,6716853366.666667,2.323310,6550904048,6459348436,4295083517,2147483648,16781271,0
6144,128,15318676486.000000,15354715066.666666,5.298539,14914718627,14533426237,9663833220,4831838208,37754809,0
8192,128,27534074466.000000,27454648000.000000,9.469733,26743784478,25837126607,17180075044,8589934592,67116971,0
10240,128,43543375155.000000,43361069700.000000,14.965498,42196492812,40370437705,26843797156,13421772800,104867749,0
12288,128,64049990266.000000,63891415733.333336,21.976098,61940803606,58133414844,38655054865,19327352832,151007147,0
14336,128,86719710331.000000,87075758633.333344,29.972896,85033633139,79125955617,52613745794,26306674688,205535135,0
