n,d,r,c,t,p,sd,pd128,pd256
32,8,74538.000000,71464.453125,0.000027,77838,39668,39668,0,0
64,8,416573.000000,399540.104167,0.000154,418789,158331,158331,0,0
128,8,1445925.000000,1386179.166667,0.000534,1437731,632083,632083,0,0
256,8,5297624.000000,5063283.333333,0.001981,5140085,2526300,2526300,0,0
512,8,19603468.000000,18783266.666667,0.007225,19003682,10098058,10098058,0,0
1024,8,79136287.000000,74818466.666667,0.028809,75777886,40379591,40379591,0,0
2048,8,350352341.000000,335143466.666667,0.129081,335342984,161499478,161499478,0,0
4096,8,1382800788.000000,1324250200.000000,0.510666,1321289313,645985322,645985322,0,0
6144,8,3297315593.000000,3163199866.666667,1.216181,3155517886,1453400429,1453400429,0,0
8192,8,5730440687.000000,5492667266.666667,2.114860,5492729341,2583809476,2583809476,0,0
10240,8,9102622256.000000,8716571933.333332,3.356594,8698814019,4037161079,4037161079,0,0
12288,8,12940637669.000000,12396189000.000000,4.771622,12372384918,5813490148,5813490148,0,0
14336,8,18385539022.000000,17619660066.666664,6.665937,17286807783,7912764848,7912764848,0,0
