n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,297178.000000,296592.968750,0.000106,506321,30519,19964,9945,610,0
64,20,1264811.000000,1143778.125000,0.000397,1269310,123537,80896,40379,2262,0
128,20,3922788.000000,4159325.000000,0.001288,3686688,496940,325630,162682,8628,0
256,20,12870555.000000,12848450.000000,0.004548,13260975,1993294,1306610,653044,33640,0
512,20,47267380.000000,46464766.666667,0.015797,45590125,7984336,5234676,2616820,132840,0
1024,20,174008796.000000,177928533.333333,0.060712,175871612,31959436,20955098,10476518,527820,0
2048,20,740269747.000000,739889566.666667,0.256418,744025888,127882127,83853280,41924581,2104266,0
4096,20,3077058514.000000,3052402733.333333,1.011073,2880636404,511616773,335478698,167735241,8402834,0
6144,20,6991773299.000000,7015922633.333333,2.484313,7177498578,1151204036,754876310,377431994,18895732,0
8192,20,15010199571.000000,13741180200.000000,5.765644,15254054119,2046643709,1342046020,671014803,33582886,0
10240,20,28036869554.000000,28670680833.333332,9.634858,28032225377,3197936075,2096987958,1048483719,52464398,0
12288,20,40342067059.000000,43310726666.666672,14.848719,45609748049,4605081049,3019702078,1509838729,75540242,0
14336,20,69149125380.000000,65373222933.333336,21.933843,72177300819,6268078296,4110188252,2055079764,102810280,0
