n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,59216.000000,58849.609375,0.000020,139533,20292,12679,6080,1533,0
64,4,261760.000000,256559.375000,0.000087,249663,81055,50450,24448,6157,0
128,4,1122263.000000,1116077.083333,0.000385,1121722,322157,199498,98048,24611,0
256,4,3865046.000000,3896572.916667,0.001337,3963191,1282765,791657,392704,98404,0
512,4,14031074.000000,14117441.666667,0.004858,14089906,5119330,3154073,1571840,393417,0
1024,4,59832732.000000,59949766.666667,0.020637,60573510,20463631,12600946,6289408,1573277,0
2048,4,227421692.000000,231277900.000000,0.078756,227745829,81826557,50372590,25161728,6292239,0
4096,4,917175382.000000,924319900.000000,0.319828,910668177,327263968,201441474,100655104,25167390,0
6144,4,2088129697.000000,2094245633.333333,0.722380,2078940109,736285614,453180041,226480128,56625445,0
8192,4,3492466355.000000,3502765966.666667,1.212605,3497762438,1308919105,805615928,402636800,100666377,0
10240,4,5981730539.000000,5985905466.666666,2.063830,5934812521,2045139122,1258723808,629125120,157290194,0
12288,4,8422882902.000000,8458152566.666667,2.923874,8402762274,2944999986,1812557913,905945088,226496985,0
14336,4,12177497822.000000,12204719600.000000,4.209092,12119781189,4008389680,2467006288,1233096704,308286688,0
