n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,80805.000000,80739.322917,0.000028,81147,30337,17904,9936,2497,0
64,4,355289.000000,357968.750000,0.000122,353297,115218,67837,37872,9509,0
128,4,1240631.000000,1241290.625000,0.000434,1345526,417861,244869,138320,34672,0
256,4,4481651.000000,4456091.666667,0.001540,4400500,1597963,934048,530992,132923,0
512,4,16650884.000000,16239758.333333,0.005567,15884938,6393355,3733834,2127344,532177,0
1024,4,58888154.000000,59310800.000000,0.020449,58388601,25246389,14738759,8405584,2102046,0
2048,4,257148751.000000,257425266.666667,0.088796,254593926,101213462,59071395,33712672,8429395,0
4096,4,1045231272.000000,1048876833.333333,0.362116,1032634083,404442901,236017406,134738512,33686983,0
6144,4,2399028219.000000,2389292600.000000,0.825914,2372733007,907178526,529404133,302216720,75557673,0
8192,4,4394965573.000000,4406598333.333334,1.515902,4385241610,1614491814,942134752,537881968,134475094,0
10240,4,6773252740.000000,6726587700.000000,2.351057,6743783246,2516787342,1468648825,838506240,209632277,0
12288,4,10417808281.000000,10410260500.000000,3.590671,10356832902,3630931333,2118830955,1209674848,302425530,0
14336,4,13441214272.000000,13414036033.333334,4.651751,13407893869,4938221318,2881652232,1645248960,411320126,0
