n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,60836.000000,59917.285156,0.000020,137591,13844,8711,4096,1037,0
64,4,236967.000000,223564.322917,0.000069,204798,54847,34322,16384,4141,0
128,4,951792.000000,954402.083333,0.000329,1158960,216493,134474,65536,16483,0
256,4,3570037.000000,3566033.333333,0.001289,3664107,858445,530537,262144,65764,0
512,4,13309627.000000,13179533.333333,0.004550,13120928,3418722,2107545,1048576,262601,0
1024,4,56370635.000000,56467833.333333,0.019475,56417920,13654543,8410738,4194304,1049501,0
2048,4,258009114.000000,256425733.333333,0.088347,226083220,54576893,33603566,16777216,4196111,0
4096,4,1045681681.000000,1047851200.000000,0.363785,920794878,218238688,134348994,67108864,16780830,0
6144,4,2480641788.000000,2470672400.000000,0.856196,2199520493,490958766,302209673,150994944,37754149,0
8192,4,4238702040.000000,4216530400.000000,1.454782,3753324511,872764737,537213240,268435456,67116041,0
10240,4,7216538746.000000,7198047466.666667,2.493790,6465183749,1363631282,839334368,419430400,104866514,0
12288,4,10294675055.000000,10277423100.000000,3.552704,9319855556,1963612722,1208627289,603979776,151005657,0
14336,4,14493285233.000000,14479073600.000000,4.997396,13198874462,2672597040,1644980048,822083584,205533408,0
