n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,44569.000000,44406.250000,0.000016,45210,12685,7543,4096,1046,0
64,4,145191.000000,148077.473958,0.000051,150070,50060,29533,16384,4143,0
128,4,574684.000000,581072.395833,0.000198,692249,198554,116536,65536,16482,0
256,4,2110305.000000,2092833.333333,0.000723,2083814,790769,462900,262144,65725,0
512,4,7396250.000000,7375666.666667,0.002581,7329800,3159120,1848020,1048576,262524,0
1024,4,29509733.000000,30517183.333333,0.010202,27751069,12616207,7372599,4194304,1049304,0
2048,4,144811935.000000,144682933.333333,0.049600,116424101,50440058,29467133,16777216,4195709,0
4096,4,559949100.000000,559565633.333333,0.197236,457591908,201670723,117781850,67108864,16780009,0
6144,4,1277796231.000000,1288449700.000000,0.444336,1046969010,453671245,264923459,150994944,37752842,0
8192,4,2313382403.000000,2313090266.666667,0.806657,1858682701,806433477,470883762,268435456,67114259,0
10240,4,3721993989.000000,3662805366.666667,1.283989,3028834556,1259978472,735683756,419430400,104864316,0
12288,4,5437039470.000000,5406844100.000000,1.867218,4384212123,1814960906,1059978195,603979776,151002935,0
14336,4,7441506623.000000,7394745766.666667,2.556438,6107277609,2469940428,1442326745,822083584,205530099,0
