n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,40248.000000,39861.783854,0.000014,40603,12679,7538,4096,1045,0
64,4,120926.000000,121824.544271,0.000042,120097,50063,29536,16384,4143,0
128,4,451407.000000,459483.854167,0.000153,560538,198554,116536,65536,16482,0
256,4,1560030.000000,1559716.666667,0.000540,1547791,790769,462900,262144,65725,0
512,4,5265044.000000,5269783.333333,0.001947,5520360,3158829,1847729,1048576,262524,0
1024,4,21201972.000000,20950083.333333,0.007255,18884670,12616206,7372598,4194304,1049304,0
2048,4,107396009.000000,107437266.666667,0.037205,78670550,50440062,29467135,16777216,4195711,0
4096,4,432802041.000000,423393233.333333,0.145918,315172679,201660427,117771555,67108864,16780008,0
6144,4,962537144.000000,967428400.000000,0.334129,715083146,453671245,264923461,150994944,37752840,0
8192,4,1773704331.000000,1768887866.666667,0.611889,1311834467,806434514,470884799,268435456,67114259,0
10240,4,2812133470.000000,2815830400.000000,0.977441,2129001497,1259978479,735683765,419430400,104864314,0
12288,4,4109192178.000000,4085031833.333333,1.420661,3114367126,1814961419,1059978710,603979776,151002933,0
14336,4,5532798823.000000,5596593033.333334,1.915910,4357190877,2469940488,1442326808,822083584,205530096,0
