n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,2,51800.000000,50967.122396,0.000018,125816,11798,6230,2048,1536,1984,4
64,2,197308.000000,198438.541667,0.000067,185303,46155,23739,8192,6160,8064,4
128,2,795080.000000,788407.291667,0.000270,997968,182431,92544,32768,24607,32512,4
256,2,2661299.000000,2646189.583333,0.000934,2697992,724931,364928,131072,98371,130560,4
512,2,8861481.000000,8893091.666667,0.003052,8718405,2893178,1452269,524288,393357,523264,4
1024,2,31230032.000000,30649616.666667,0.010509,29931158,11555195,5789832,2097152,1573107,2095104,4
2048,2,119336237.000000,117113600.000000,0.040659,118477002,46211433,23146358,8388608,6291955,8384512,4
4096,2,463226289.000000,448287800.000000,0.161136,441277123,184821906,92554446,33554432,25166788,33546240,4
6144,2,1031881219.000000,1054839233.333333,0.362182,1050331320,415798177,208191009,75497472,56624512,75485184,4
8192,2,1911046446.000000,1968801300.000000,0.657305,1910628999,739324669,370240457,134217728,100665140,134201344,4
10240,2,3080639550.000000,3038435366.666667,1.078180,3068439440,1154911314,578212712,209715200,157288682,209694720,4
12288,2,4707229646.000000,4672591166.666666,1.585061,4581123882,1663241083,832790706,301989888,226495177,301965312,4
14336,2,6440104327.000000,6330375200.000000,2.225307,6321622695,2263602490,1133263079,411041792,308284499,411013120,4
