n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,48923.000000,50033.496094,0.000017,117646,20792,11186,4096,1542,3968,4
64,4,180394.000000,182492.317708,0.000062,177012,82340,43670,16384,6158,16128,4
128,4,717057.000000,708264.583333,0.000244,713448,328935,173772,65536,24603,65024,4
256,4,2505117.000000,2515750.000000,0.000873,2576639,1315344,693736,262144,98344,261120,4
512,4,7967218.000000,7984425.000000,0.002758,8039807,5252555,2764148,1048576,393303,1046528,4
1024,4,27867666.000000,27709016.666667,0.009959,28421646,21008339,11050866,4194304,1572961,4190208,4
2048,4,100531197.000000,100454066.666667,0.034775,101344912,84017156,44179299,16777216,6291617,16769024,4
4096,4,393489806.000000,397625766.666667,0.137283,394961123,336094344,176726963,67108864,25166037,67092480,4
6144,4,915416455.000000,914114800.000000,0.322064,898665308,756290307,397701610,150994944,56623385,150970368,4
8192,4,1678470081.000000,1727519366.666667,0.593413,1695889487,1344600298,707098483,268435456,100663671,268402688,4
10240,4,2704460897.000000,2734631366.666667,0.930735,2709924711,2100854133,1104747471,419430400,157286822,419389440,4
12288,4,4091524991.000000,4087839033.333333,1.442522,4196854642,3025146403,1590743079,603979776,226492924,603930624,4
14336,4,5632073673.000000,5624581900.000000,1.929429,5651630662,4117449293,2165057602,822083584,308281867,822026240,4
