n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,57722.000000,57951.855469,0.000021,122565,20753,11156,4096,1533,3968,4
64,4,234416.000000,223005.468750,0.000075,220620,83010,44345,16384,6153,16128,4
128,4,991407.000000,1001738.541667,0.000343,1073699,329557,174393,65536,24604,65024,4
256,4,3146369.000000,3230962.500000,0.001108,3198822,1313659,692044,262144,98351,261120,4
512,4,10441860.000000,10356866.666667,0.003524,10170509,5250107,2761702,1048576,393301,1046528,4
1024,4,37411807.000000,37451566.666667,0.012819,37056729,20992978,11035464,4194304,1573002,4190208,4
2048,4,156292310.000000,157006966.666667,0.053893,154636104,83945142,44107243,16777216,6291659,16769024,4
4096,4,546730204.000000,543742266.666667,0.191171,542104158,335738917,176371442,67108864,25166131,67092480,4
6144,4,1357627353.000000,1308489666.666667,0.451273,1302209081,755453934,396865097,150994944,56623525,150970368,4
8192,4,2223491238.000000,2233927033.333333,0.771296,2207271740,1342957653,705455708,268435456,100663801,268402688,4
10240,4,3491975598.000000,3642947133.333333,1.222882,3475720719,2098338702,1102231865,419430400,157286997,419389440,4
12288,4,5220808703.000000,5221304033.333334,1.800451,5200279680,3021707365,1587303875,603979776,226493090,603930624,4
14336,4,7301977560.000000,7198671933.333333,2.484976,7195188671,4112777669,2160385784,822083584,308282061,822026240,4
