n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,60203.000000,62233.886719,0.000021,59912,20292,12679,6080,1533,0,4
64,4,257767.000000,265266.927083,0.000091,566227,81055,50450,24448,6157,0,4
128,4,1125009.000000,1131725.000000,0.000388,1124263,322157,199498,98048,24611,0,4
256,4,3953535.000000,3930406.250000,0.001409,3928055,1282765,791657,392704,98404,0,4
512,4,14258838.000000,14291200.000000,0.004929,14073430,5119330,3154073,1571840,393417,0,4
1024,4,61404426.000000,61053700.000000,0.021357,60748631,20463631,12600946,6289408,1573277,0,4
2048,4,233699661.000000,237248033.333333,0.081100,233493391,81826557,50372590,25161728,6292239,0,4
4096,4,933522557.000000,931673333.333333,0.321287,926645605,327263968,201441474,100655104,25167390,0,4
6144,4,2142514644.000000,2136302400.000000,0.739792,2128104263,736285614,453180041,226480128,56625445,0,4
8192,4,3598981780.000000,3621063733.333333,1.240178,3579691096,1308919105,805615928,402636800,100666377,0,4
10240,4,6120523321.000000,6049197966.666666,2.083089,5993286551,2045139122,1258723808,629125120,157290194,0,4
12288,4,8510757155.000000,8595440500.000000,2.946271,8469273501,2944999986,1812557913,905945088,226496985,0,4
14336,4,12166082648.000000,12267589666.666666,4.219884,12122197871,4008389680,2467006288,1233096704,308286688,0,4
