n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,45216.000000,44653.580729,0.000015,43505,12679,7538,4096,1045,0,4
64,4,129830.000000,127726.497396,0.000044,125541,50063,29536,16384,4143,0,4
128,4,472816.000000,459083.593750,0.000157,550496,198554,116536,65536,16482,0,4
256,4,1601618.000000,1611705.208333,0.000552,1607446,790769,462900,262144,65725,0,4
512,4,5464892.000000,5448012.500000,0.001873,5380707,3158829,1847729,1048576,262524,0,4
1024,4,21760560.000000,21779483.333333,0.007536,19855449,12616206,7372598,4194304,1049304,0,4
2048,4,112807196.000000,111506933.333333,0.038472,83102996,50440062,29467135,16777216,4195711,0,4
4096,4,450242409.000000,443122900.000000,0.152483,323443528,201660427,117771555,67108864,16780008,0,4
6144,4,989323467.000000,998686533.333333,0.353977,742252857,453671245,264923461,150994944,37752840,0,4
8192,4,1785053066.000000,1783455533.333333,0.611030,1342657162,806434514,470884799,268435456,67114259,0,4
10240,4,2842047270.000000,2837892633.333333,0.981796,2233895274,1259978479,735683765,419430400,104864314,0,4
12288,4,4238470466.000000,4166768333.333333,1.427206,3284242470,1814961419,1059978710,603979776,151002933,0,4
14336,4,5668136565.000000,5699462800.000000,1.932478,4421580845,2469940488,1442326808,822083584,205530096,0,4
