n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,58860.000000,59928.613281,0.000020,60167,20753,11156,4096,1533,3968,4
64,4,223194.000000,231407.161458,0.000077,334295,83010,44345,16384,6153,16128,4
128,4,987392.000000,985969.791667,0.000348,962789,329557,174393,65536,24604,65024,4
256,4,3168553.000000,3180877.083333,0.001102,2925347,1313659,692044,262144,98351,261120,4
512,4,10302552.000000,10401575.000000,0.003602,10311878,5250107,2761702,1048576,393301,1046528,4
1024,4,39266386.000000,39773500.000000,0.013798,38931348,20992978,11035464,4194304,1573002,4190208,4
2048,4,164989081.000000,153473800.000000,0.053062,152976390,83945142,44107243,16777216,6291659,16769024,4
4096,4,530477608.000000,530362633.333333,0.186377,525263531,335738917,176371442,67108864,25166131,67092480,4
6144,4,1456300143.000000,1456681600.000000,0.505095,1446555123,755453934,396865097,150994944,56623525,150970368,4
8192,4,2216817294.000000,2229938566.666667,0.762933,2193353340,1342957653,705455708,268435456,100663801,268402688,4
10240,4,3448963214.000000,3496521300.000000,1.190842,3440792402,2098338702,1102231865,419430400,157286997,419389440,4
12288,4,5228630187.000000,5212600166.666666,1.800490,5218429598,3021707365,1587303875,603979776,226493090,603930624,4
14336,4,7210825330.000000,7211004666.666667,2.498461,7213494429,4112777669,2160385784,822083584,308282061,822026240,4
