n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,64260.000000,70937.662760,0.000025,87440,12672,7528,4096,1048,0,4
64,4,198178.000000,199431.640625,0.000068,192256,49821,29289,16384,4148,0,4
128,4,648977.000000,725845.833333,0.000224,674015,198340,116306,65536,16498,0,4
256,4,2112061.000000,2112589.583333,0.000703,2025464,790242,462319,262144,65779,0,4
512,4,7419223.000000,7382554.166667,0.002556,7289497,3154171,1842960,1048576,262635,0,4
1024,4,34175929.000000,30242166.666667,0.010334,29895296,12602219,7358351,4194304,1049564,0,4
2048,4,170442318.000000,172909600.000000,0.060031,144843173,50375634,29402130,16777216,4196288,0,4
4096,4,590275927.000000,593476300.000000,0.203993,479328967,201415358,117525271,67108864,16781223,0,4
6144,4,1419547873.000000,1421832300.000000,0.494958,1147048532,453124608,264374889,150994944,37754775,0,4
8192,4,2533161484.000000,2538259800.000000,0.865309,2016250102,805495670,469943277,268435456,67116937,0,4
10240,4,3915663017.000000,3940413666.666667,1.389675,3305746230,1258535922,734237829,419430400,104867693,0,4
12288,4,5945809564.000000,5874504866.666666,2.002706,4706988510,1812243239,1057256383,603979776,151007080,0,4
14336,4,8111911368.000000,8096193900.000000,2.796965,6888281056,2466598908,1438980249,822083584,205535075,0,4
