n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,266062.000000,266346.875000,0.000092,412191,6711,4092,2009,610,0,4
64,4,1124197.000000,1282736.458333,0.000392,1085342,26754,16378,8120,2256,0,4
128,4,4828167.000000,4339729.166667,0.001366,3562639,106753,65518,32625,8610,0,4
256,4,12098606.000000,12097350.000000,0.004127,11656408,426584,262134,130806,33644,0,4
512,4,40583634.000000,39131633.333333,0.013559,41063454,1705058,1048522,523746,132790,0,4
1024,4,158175434.000000,156950900.000000,0.054325,152132178,6818059,4194224,2096073,527762,0,4
2048,4,601930244.000000,611581000.000000,0.215355,600615520,27267327,16776943,8386401,2103983,0,4
4096,4,2711934565.000000,2795262633.333333,0.899709,2614122161,109061004,67108510,33550074,8402420,0,4
6144,4,7247317152.000000,7235676900.000000,2.533098,7166969883,245380221,150994317,75490896,18895008,0,4
8192,4,14405659897.000000,14696616133.333334,5.099673,14775822248,436225431,268434585,134208938,33581908,0,4
10240,4,27995069148.000000,27535545433.333332,10.031922,27054136178,681596538,419429275,209704181,52463082,0,4
12288,4,42952765311.000000,44862784433.333328,16.343122,48804035966,981493831,603978481,301976690,75538660,0,4
14336,4,69438570871.000000,67724153366.666664,21.327361,66169320385,1335916832,822081992,411026376,102808464,0,4
