n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,307963.000000,308706.510417,0.000107,377800,294146,195333,97280,1533,0,4
64,64,1173108.000000,1174409.375000,0.000410,1180017,1181340,784015,391168,6157,0,4
128,64,4709626.000000,4793820.833333,0.001642,4714805,4734433,3141044,1568768,24621,0,4
256,64,19253941.000000,19264700.000000,0.006656,19205448,18955146,12573473,6283264,98409,0,4
512,64,73797875.000000,74015733.333333,0.025630,75877566,75857469,50314584,25149440,393445,0,4
1024,64,302339935.000000,303710233.333333,0.104183,301551719,303495620,201291745,100630528,1573347,0,4
2048,64,1205133357.000000,1201731966.666667,0.416360,1197492913,1214116536,805236453,402587648,6292435,0,4
4096,64,4776321005.000000,4764517300.000000,1.632823,4729644899,4856729041,3221079556,1610481664,25167821,0,4
6144,64,11537073122.000000,11510289466.666668,3.954932,11372156595,10927849546,7247541387,3623682048,56626111,0,4
8192,64,21350505270.000000,21229675233.333336,7.296898,21169156505,19427494084,12884637958,6442188800,100667326,0,4
10240,64,34038351675.000000,34227856100.000000,11.774967,33945444152,30355569645,20132276297,10066001920,157291428,0,4
12288,64,49717988184.000000,49733182666.666664,17.086153,49048889821,43712238026,28990618164,14495121408,226498454,0,4
14336,64,66991830161.000000,67086601900.000000,23.210881,66659910450,59497379523,39459543858,19729547264,308288401,0,4
