n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,89411.000000,89565.820312,0.000031,89996,318466,122373,0,1533,194560,4
64,64,354831.000000,353920.833333,0.000122,355065,1279132,490639,0,6157,782336,4
128,64,1391993.000000,1400881.250000,0.000485,1489967,5126625,1964468,0,24621,3137536,4
256,64,5201156.000000,5200545.833333,0.001782,5868172,20525962,7861025,0,98409,12566528,4
512,64,19369129.000000,19234250.000000,0.006647,19415581,82144829,31452504,0,393445,50298880,4
1024,64,79161367.000000,79363333.333333,0.026996,78534149,328653252,125818849,0,1573347,201261056,4
2048,64,317189066.000000,324644366.666667,0.110611,315160774,1314763448,503295717,0,6292435,805175296,4
4096,64,1330613099.000000,1323532933.333333,0.453735,1315832314,5259349457,2013218308,0,25167821,3220963328,4
6144,64,3251979070.000000,3251996200.000000,1.103579,3186394583,11833770058,4529779851,0,56626111,7247364096,4
8192,64,7510731170.000000,7387776100.000000,2.607405,7551009212,21038041284,8052996358,0,100667326,12884377600,4
10240,64,13637543779.000000,13558550766.666666,4.608043,13300230737,32872070125,12582774857,0,157291428,20132003840,4
12288,64,20731434778.000000,21271153933.333336,7.443009,20859702577,47336018378,18119277108,0,226498454,28990242816,4
14336,64,30313526686.000000,29702519200.000000,10.452638,29364658373,64429766339,24662383410,0,308288401,39459094528,4
