n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,179241.000000,178376.432292,0.000063,234672,28298,14596,0,1542,12160,4
64,4,611736.000000,609664.583333,0.000211,602939,112845,57786,0,6163,48896,4
128,4,2604682.000000,2604683.333333,0.000897,2576103,451256,230538,0,24622,196096,4
256,4,11376069.000000,11247408.333333,0.003877,11244317,1803446,919641,0,98397,785408,4
512,4,42718653.000000,43047600.000000,0.014715,42424903,7212528,3675431,0,393417,3143680,4
1024,4,195148288.000000,195124566.666667,0.067026,193860339,28842421,14690325,0,1573280,12578816,4
2048,4,630543288.000000,631817200.000000,0.217924,627419479,115381674,58765989,0,6292229,50323456,4
4096,4,2696175636.000000,2707008866.666667,0.932429,2692207769,461492120,235014555,0,25167357,201310208,4
6144,4,5242720562.000000,5239313033.333334,1.817726,5213736252,1038311980,528726352,0,56625372,452960256,4
8192,4,9865149984.000000,9859480900.000000,3.412762,9835070055,1845946979,940007041,0,100666338,805273600,4
10240,4,15723981578.000000,15790078533.333334,5.430846,15642032669,2884094600,1468554237,0,157290123,1258250240,4
12288,4,26724232385.000000,26760144400.000000,9.223816,26613986120,4153246022,2114858934,0,226496912,1811890176,4
14336,4,28590127678.000000,28660209900.000000,9.903371,28468732596,5653180900,2878700903,0,308286589,2466193408,4
