n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,196706.000000,197385.026042,0.000079,264746,198418,131845,65536,1037,0,4
64,64,753198.000000,755661.458333,0.000260,744023,792252,525967,262144,4141,0,4
128,64,3109810.000000,3121547.916667,0.001078,3093240,3165729,2100660,1048576,16493,0,4
256,64,13027155.000000,13029458.333333,0.004501,13156731,12655626,8395553,4194304,65769,0,4
512,64,49148291.000000,48935566.666667,0.016892,48425855,50609981,33570136,16777216,262629,0,4
1024,64,202685582.000000,203732733.333333,0.070527,201903176,202406852,134248417,67108864,1049571,0,4
2048,64,853834733.000000,850272266.666667,0.293602,800282861,809563832,536932069,268435456,4196307,0,4
4096,64,3393282953.000000,3334049766.666667,1.162728,3184348551,3238122961,2147599876,1073741824,16781261,0,4
6144,64,8014294188.000000,8016522200.000000,2.751373,7607015037,7285689418,4832015499,2415919104,37754815,0,4
8192,64,15046378589.000000,14653263066.666666,5.168017,14015845837,12952279236,8590194950,4294967296,67116990,0,4
10240,64,23800725401.000000,23700584466.666664,8.213168,22795872033,20237799405,13422045257,6710886400,104867748,0,4
12288,64,34201754031.000000,34125498666.666668,11.792835,32858885380,29142411722,19327728180,9663676416,151007126,0,4
14336,64,46080447424.000000,46330288833.333328,15.917601,44295421479,39665996483,26307124018,13153337344,205535121,0,4
