n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,8,71920.000000,72350.846354,0.000025,71518,26273,8846,0,1043,16384,4
64,8,230985.000000,233170.572917,0.000080,230050,103869,34189,0,4144,65536,4
128,8,846316.000000,853974.479167,0.000292,952608,412333,133705,0,16484,262144,4
256,8,3135003.000000,3185166.666667,0.001098,3323927,1643191,528870,0,65745,1048576,4
512,8,11539682.000000,11635766.666667,0.004530,11377780,6563872,2107015,0,262553,4194304,4
1024,8,45733280.000000,46041366.666667,0.015796,45619387,26238403,8411735,0,1049452,16777216,4
2048,8,216868409.000000,217289266.666667,0.074615,180116687,104909835,33604886,0,4196085,67108864,4
4096,8,842765761.000000,856231766.666667,0.295673,714031490,419554191,134338014,0,16780721,268435456,4
6144,8,1910800894.000000,1908358533.333333,0.661748,1615299458,943941157,302207408,0,37753973,603979776,4
8192,8,3447209448.000000,3399264000.000000,1.171348,2902881784,1678048858,537191151,0,67115883,1073741824,4
10240,8,5382117936.000000,5431526966.666666,1.875401,4626275878,2621874529,839286593,0,104866336,1677721600,4
12288,8,7856518363.000000,7836001066.666667,2.709754,6742630572,3775370670,1208446165,0,151005401,2415919104,4
14336,8,10823115694.000000,10674743400.000000,3.772692,9257411754,5138773193,1644905743,0,205533114,3288334336,4
