n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,80982.000000,81183.007812,0.000028,81268,214799,82690,0,1037,131072,4
64,64,292655.000000,291684.114583,0.000099,287871,857782,329358,0,4136,524288,4
128,64,1143258.000000,1142388.541667,0.000394,1368360,3427877,1314240,0,16485,2097152,4
256,64,4280386.000000,4252125.000000,0.001466,4193800,13704200,5249843,0,65749,8388608,4
512,64,16389282.000000,16317091.666667,0.005778,16287452,54801288,20984262,0,262594,33554432,4
1024,64,76145116.000000,67294500.000000,0.022940,65999166,219179524,83912300,0,1049496,134217728,4
2048,64,306932075.000000,310568733.333333,0.105037,267206368,876658900,335591825,0,4196163,536870912,4
4096,64,1303289744.000000,1313078433.333333,0.442656,1105620889,3506542114,1342277494,0,16780972,2147483648,4
6144,64,3170122288.000000,3108979800.000000,1.073673,2781869405,7889647443,3020054840,0,37754395,4831838208,4
8192,64,6507387555.000000,6487013866.666667,2.266951,5881421297,14025976844,5368925773,0,67116479,8589934592,4
10240,64,11199968683.000000,11278893633.333332,3.876414,10405586502,21915529150,8388889157,0,104867193,13421772800,4
12288,64,17099920102.000000,17133850566.666666,5.895624,15697304985,31558295640,12079936337,0,151006471,19327352832,4
14336,64,23742879371.000000,23844339400.000000,8.301615,21934994996,42954290325,16442081288,0,205534349,26306674688,4
