n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,98271.000000,93981.901042,0.000033,135682,64089,42572,20480,1037,0,4
64,20,355846.000000,323795.572917,0.000111,295631,255242,169192,81920,4130,0,4
128,20,1401006.000000,1396591.666667,0.000518,1289500,1018338,674201,327680,16457,0,4
256,20,5757131.000000,5699225.000000,0.001954,5302326,4068316,2691894,1310720,65702,0,4
512,20,22468102.000000,22581816.666667,0.007810,20832809,16262917,10757549,5242880,262488,0,4
1024,20,88565207.000000,88899500.000000,0.030731,82466644,65035021,43014208,20971520,1049293,0,4
2048,20,395193720.000000,397121166.666667,0.139119,329719537,260104166,172022278,83886080,4195808,0,4
4096,20,1587691333.000000,1587281166.666667,0.541523,1319775210,1040291546,687966800,335544320,16780426,0,4
6144,20,3616768185.000000,3537914933.333333,1.224567,2989809396,2340625505,1547897331,754974720,37753454,0,4
8192,20,6425541435.000000,6381701333.333333,2.196467,5426084066,4161024525,2751731997,1342177280,67115248,0,4
