n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,73152.000000,78394.401042,0.000025,73621,30904,20475,9920,509,0,4
64,20,275043.000000,273747.916667,0.000094,271422,124364,81983,40320,2061,0,4
128,20,1225052.000000,1228361.458333,0.000423,1385144,498853,328056,162560,8237,0,4
256,20,5506065.000000,5183750.000000,0.001789,5162388,1997554,1311881,652800,32873,0,4
512,20,19639336.000000,19286450.000000,0.006757,19273689,7993024,5245403,2616320,131301,0,4
1024,20,81733725.000000,83054066.666667,0.028508,80318425,31976969,20976695,10475520,524754,0,4
2048,20,365932739.000000,365423200.000000,0.126193,361727445,127913612,83892935,41922560,2098117,0,4
4096,20,1623029370.000000,1609645000.000000,0.559037,1519454381,511686176,335564410,167731200,8390566,0,4
6144,20,3717416494.000000,3702064600.000000,1.294685,3551709916,1151300938,754997692,377425920,18877326,0,4
8192,20,6689255536.000000,6723707033.333333,2.317786,6338841123,2046786279,1342221185,671006720,33558374,0,4
10240,20,11307730798.000000,11308077300.000000,3.976894,10727007676,3198109591,2097202250,1048473600,52433741,0,4
12288,20,17405480884.000000,17372372666.666664,6.059887,16370954061,4605293487,3019963486,1509826560,75503441,0,4
14336,20,24065692920.000000,23923812933.333336,8.187919,22723913196,6268331580,4110498604,2055065600,102767376,0,4
