n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,81300.000000,81301.953125,0.000028,149907,213775,81666,0,1037,131072,4
64,64,282860.000000,278573.697917,0.000096,276736,853686,325262,0,4136,524288,4
128,64,1062819.000000,1063756.250000,0.000366,1050529,3411493,1297856,0,16485,2097152,4
256,64,3839585.000000,3850475.000000,0.001335,3823211,13638664,5184307,0,65749,8388608,4
512,64,14544309.000000,14500241.666667,0.005080,14630798,54539144,20722118,0,262594,33554432,4
1024,64,61579141.000000,61622100.000000,0.021337,61948689,218130948,82863724,0,1049496,134217728,4
2048,64,277663071.000000,276067433.333333,0.095099,234964685,872464596,331397521,0,4196163,536870912,4
4096,64,1092039360.000000,1103179333.333333,0.373585,934854365,3489764912,1325500292,0,16780972,2147483648,4
6144,64,2774864942.000000,2804284533.333333,0.930400,2373444640,7851898718,2982306115,0,37754395,4831838208,4
8192,64,5980762983.000000,5995246366.666666,2.074589,5686782784,13958867986,5301816915,0,67116479,8589934592,4
10240,64,10367143551.000000,10403015333.333332,3.681737,9450670347,21810671479,8284031486,0,104867193,13421772800,4
12288,64,15576524341.000000,15525890466.666666,5.547889,14563105691,31407300704,11928941400,0,151006472,19327352832,4
14336,64,21187754834.000000,21535187333.333336,7.539035,19705509206,42748769427,16236560390,0,205534349,26306674688,4
