n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,129155.000000,130084.635417,0.000045,137686,418303,160277,0,2026,256000,4
64,64,514818.000000,512680.729167,0.000176,616226,1841591,705299,0,8868,1127424,4
128,64,1953140.000000,1955929.166667,0.000677,1956133,6978808,2672148,0,33508,4273152,4
256,64,7823517.000000,7937783.333333,0.002733,8103988,28728633,10998621,0,137692,17592320,4
512,64,29451327.000000,29744333.333333,0.010164,29217793,110323077,42233273,0,528332,67561472,4
1024,64,125012378.000000,125265500.000000,0.043760,119661641,437822637,167597583,0,2095774,268129280,4
2048,64,512647219.000000,512520866.666667,0.178043,534174455,1764193025,675310753,0,8442976,1080439296,4
4096,64,2189086556.000000,2160026333.333333,0.739904,2116104926,7016724666,2685874782,0,33576540,4297273344,4
6144,64,5268472543.000000,5262687033.333334,1.816266,5160893282,15770786549,6036739692,0,75463817,9658583040,4
8192,64,10742597223.000000,10762747766.666668,3.736025,11194684963,28069333875,10744343440,0,134310371,17190680064,4
10240,64,19819711637.000000,19587154866.666664,6.859939,19345397481,43808134785,16768796271,0,209617426,26829721088,4
12288,64,29611418996.000000,29556633733.333332,10.223737,29251375285,63139234818,24168283835,0,302112583,38668838400,4
14336,64,41220907303.000000,41499533600.000000,14.243519,41614974569,85970715788,32907641764,0,411355880,52651718144,4
