n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,80368.000000,80469.335938,0.000028,80266,214799,82690,0,1037,131072,4
64,64,282639.000000,292076.822917,0.000149,283145,857782,329358,0,4136,524288,4
128,64,1143185.000000,1148611.458333,0.000394,1244572,3427877,1314240,0,16485,2097152,4
256,64,4217200.000000,4226991.666667,0.001454,4200064,13704200,5249843,0,65749,8388608,4
512,64,16028831.000000,15857200.000000,0.005493,16240006,54801288,20984262,0,262594,33554432,4
1024,64,64826735.000000,64659366.666667,0.022342,64853089,219179524,83912300,0,1049496,134217728,4
2048,64,301724555.000000,307780866.666667,0.104357,257184846,876658900,335591825,0,4196163,536870912,4
4096,64,1310179815.000000,1242929366.666667,0.419689,1107038437,3506542114,1342277494,0,16780972,2147483648,4
6144,64,3071846315.000000,3014469766.666667,1.063519,2762911043,7889647443,3020054840,0,37754395,4831838208,4
8192,64,6456982752.000000,6594455000.000000,2.262313,5948163306,14025976844,5368925773,0,67116479,8589934592,4
10240,64,11212220903.000000,11311096200.000000,3.952955,10261375218,21915529150,8388889157,0,104867193,13421772800,4
12288,64,17044092821.000000,16970566066.666666,5.899744,15701481090,31558295640,12079936337,0,151006471,19327352832,4
14336,64,23606983573.000000,23563873633.333336,8.111336,21535522508,42954290325,16442081288,0,205534349,26306674688,4
