n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
4096,64,1325459790.000000,1361120800.000000,0.466021,1335380602,5259358796,2013227633,0,25167835,3220963328,5
4096,64,1396503632.000000,1394675733.333333,0.481087,1416520475,5259358702,2013227526,0,25167848,3220963328,10
4096,64,1399366174.000000,1425720233.333333,0.466848,1409201650,5259364107,2013232926,0,25167853,3220963328,20
4096,64,1403894611.000000,1404573433.333333,0.489399,1400178455,5259364148,2013232967,0,25167853,3220963328,30
4096,64,1461310328.000000,1447685800.000000,0.502265,1435498028,5259364123,2013232942,0,25167853,3220963328,40
4096,64,1635768954.000000,1630870100.000000,0.562778,1613543075,5259364126,2013232945,0,25167853,3220963328,50
4096,64,1635169137.000000,1668931633.333333,0.560753,1655805109,5259364152,2013232971,0,25167853,3220963328,60
4096,64,1699724355.000000,1642607366.666667,0.566847,1644930558,5259364111,2013232930,0,25167853,3220963328,70
4096,64,1775701329.000000,1767590600.000000,0.602207,1785218841,5259364109,2013232928,0,25167853,3220963328,80
4096,64,1882879056.000000,1859767100.000000,0.627700,1808195231,5259364114,2013232933,0,25167853,3220963328,90
4096,64,1892120205.000000,1873984833.333333,0.650240,1856102961,5259364138,2013232957,0,25167853,3220963328,100
