n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,85313.000000,84825.000000,0.000030,85377,317006,120913,0,1533,194560,4
64,64,342384.000000,342132.031250,0.000118,339282,1273110,484617,0,6157,782336,4
128,64,1470707.000000,1474559.375000,0.000511,1571293,5102533,1940376,0,24621,3137536,4
256,64,6251229.000000,6260375.000000,0.002183,6256994,20428161,7763224,0,98409,12566528,4
512,64,21677239.000000,21972816.666667,0.007471,21816933,81752289,31059964,0,393445,50298880,4
1024,64,96163565.000000,95506666.666667,0.032976,94550540,327081260,124246857,0,1573347,201261056,4
2048,64,373906908.000000,381895200.000000,0.133538,369086741,1308473361,497005630,0,6292435,805175296,4
4096,64,1415173967.000000,1447953566.666667,0.486870,1444257673,5234185936,1988054787,0,25167821,3220963328,4
6144,64,4165895607.000000,4154925700.000000,1.436154,4059746851,11777150266,4473160059,0,56626111,7247364096,4
8192,64,8577718706.000000,8624902566.666668,3.027881,8542619084,20937382429,7952337503,0,100667326,12884377600,4
10240,64,16020048775.000000,15833581433.333334,5.452094,15556307936,32714789070,12425493802,0,157291428,20132003840,4
12288,64,23743206076.000000,24387859333.333332,8.207523,24120944037,47109532391,17892791121,0,226498454,28990242816,4
14336,64,33018000721.000000,32424312266.666668,11.326392,32223700109,64121492448,24354109519,0,308288401,39459094528,4
