n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,78680.000000,78862.630208,0.000027,145085,213838,81729,0,1037,131072,4
64,64,272655.000000,271542.708333,0.000094,267937,853782,325353,0,4141,524288,4
128,64,1276549.000000,1626114.583333,0.000414,1506651,3411909,1298264,0,16493,2097152,4
256,64,5843438.000000,5771483.333333,0.001868,5398960,13639041,5184664,0,65769,8388608,4
512,64,20925278.000000,20053500.000000,0.006444,18527065,54542561,20725500,0,262629,33554432,4
1024,64,85517529.000000,85444633.333333,0.029184,83994779,218135852,82868553,0,1049571,134217728,4
2048,64,368127305.000000,377085066.666667,0.126696,329655119,872478737,331411518,0,4196307,536870912,4
4096,64,1431547106.000000,1406308600.000000,0.486342,1257804950,3489781456,1325516547,0,16781261,2147483648,4
6144,64,3891012195.000000,3781381533.333333,1.324185,3426896821,7851920698,2982327675,0,37754815,4831838208,4
8192,64,8152243920.000000,7997670266.666667,2.765333,7198066739,13958912541,5301860959,0,67116990,8589934592,4
10240,64,13731137161.000000,13851796833.333334,4.796400,12847887581,21810663630,8284023082,0,104867748,13421772800,4
12288,64,20451613295.000000,20446370733.333336,6.993536,18904421526,31407336167,11928976209,0,151007126,19327352832,4
14336,64,27667162320.000000,27609686833.333332,9.490800,25192871809,42748810208,16236600399,0,205535121,26306674688,4
