n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,20,91057.000000,90113.346354,0.000031,157713,63112,41595,20480,1037,0,4
64,20,340800.000000,340976.562500,0.000117,334704,251244,165183,81920,4141,0,4
128,20,1500089.000000,1540322.916667,0.000670,1631774,1002469,658296,327680,16493,0,4
256,20,6323741.000000,6291791.666667,0.002182,6223959,4004210,2627721,1310720,65769,0,4
512,20,23839005.000000,23584250.000000,0.008245,23567306,16004032,10498523,5242880,262629,0,4
1024,20,95985988.000000,96233600.000000,0.033330,95762625,63989769,41968695,20971520,1049554,0,4
2048,20,429402043.000000,432706100.000000,0.150049,400721836,255902348,167819975,83886080,4196293,0,4
4096,20,1726173911.000000,1735720566.666667,0.594399,1587974116,1023516192,671190650,335544320,16781222,0,4
6144,20,3780103474.000000,3816681300.000000,1.311988,3482941295,2302824778,1510095292,754974720,37754766,0,4
8192,20,6612020851.000000,6602653300.000000,2.294251,6131164098,4093856487,2684562305,1342177280,67116902,0,4
10240,20,10982966942.000000,10941718366.666668,3.758786,10030415343,6396578711,4194559050,2097152000,104867661,0,4
12288,20,16222480462.000000,16107137466.666666,5.566741,14922028832,9211014063,6040108126,3019898880,151007057,0,4
14336,20,21641086430.000000,21609002966.666664,7.460306,20236539101,12537156156,8221203244,4110417920,205534992,0,4
