n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,195868.000000,195413.932292,0.000067,246883,199406,132834,65536,1036,0,4
64,64,1084265.000000,802091.666667,0.000266,733682,796180,529909,262144,4127,0,4
128,64,3444041.000000,3412514.583333,0.001189,3225132,3181733,2116681,1048576,16476,0,4
256,64,13477201.000000,13382775.000000,0.004450,12573394,12718561,8458560,4194304,65697,0,4
512,64,52199449.000000,52496766.666667,0.018090,49937578,50864656,33824889,16777216,262551,0,4
1024,64,207993732.000000,208992366.666667,0.072253,203016012,203446381,135288146,67108864,1049371,0,4
2048,64,864283752.000000,862676533.333333,0.303707,794463405,813749419,541118054,268435456,4195909,0,4
4096,64,3446233318.000000,3434625633.333333,1.183290,3166196959,3254914942,2164392655,1073741824,16780463,0,4
6144,64,7739252504.000000,7725916100.000000,2.677417,7151815854,7323477404,4869804845,2415919104,37753455,0,4
8192,64,13830378980.000000,13793495233.333334,4.748485,12818129293,13019400031,8657317062,4294967296,67115673,0,4
10240,64,21590046130.000000,21575432566.666664,7.592088,20086960190,20342825417,13527073301,6710886400,104865716,0,4
12288,64,31546469671.000000,33482258366.666668,11.579932,32139422355,29142411722,19327728180,9663676416,151007126,0,4
14336,64,42752866291.000000,45832087200.000000,15.875632,43951444500,39665996483,26307124018,13153337344,205535121,0,4
