n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,118860.000000,119932.747396,0.000041,119939,300338,201525,97280,1533,0,4
64,64,458472.000000,460805.468750,0.000158,563498,1205900,808575,391168,6157,0,4
128,64,1850112.000000,1853311.458333,0.000634,1821750,4832593,3239204,1568768,24621,0,4
256,64,7642151.000000,7646695.833333,0.002630,7678919,19347950,12966277,6283264,98409,0,4
512,64,27523083.000000,27351350.000000,0.009459,27211406,77429421,51886536,25149440,393445,0,4
1024,64,119221358.000000,119267333.333333,0.041275,117919159,309785132,207581257,100630528,1573347,0,4
2048,64,469881702.000000,485282133.333333,0.163594,465440703,1239278376,830398293,402587648,6292435,0,4
4096,64,1792344864.000000,1813729600.000000,0.628938,1840338545,4957384266,3321734781,1610481664,25167821,0,4
6144,64,4699693319.000000,4712943700.000000,1.627059,4705534142,11154329774,7474021615,3623682048,56626111,0,4
8192,64,10845470508.000000,10044552133.333332,3.433462,9704565683,19830130996,13287274870,6442188800,100667326,0,4
10240,64,17936605212.000000,17657786800.000000,6.056309,17309593802,30984694849,20761401501,10066001920,157291428,0,4
12288,64,26310428214.000000,26689160133.333332,9.028287,25948239877,44618183202,29896563340,14495121408,226498454,0,4
14336,64,37197088534.000000,36059984266.666672,12.515892,35943207818,60730476323,40692640658,19729547264,308288401,0,4
