n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,107413.000000,107585.091146,0.000037,106609,316946,120853,0,1533,194560,4
64,64,430962.000000,409217.187500,0.000141,404594,1273020,484527,0,6157,782336,4
128,64,1531260.000000,1535610.416667,0.000527,1619171,5102113,1939956,0,24621,3137536,4
256,64,5671212.000000,5668291.666667,0.001958,5628817,20427786,7762849,0,98409,12566528,4
512,64,21655682.000000,21673633.333333,0.007524,21628530,81751869,31059544,0,393445,50298880,4
1024,64,90248502.000000,88561166.666667,0.030044,86950984,327080900,124246497,0,1573347,201261056,4
2048,64,371291533.000000,389030166.666667,0.127610,390930406,1308473016,497005285,0,6292435,805175296,4
4096,64,1475670771.000000,1496524700.000000,0.503627,1490208279,5234185681,1988054532,0,25167821,3220963328,4
6144,64,3814492998.000000,3732269066.666667,1.269036,3791662044,11777150026,4473159819,0,56626111,7247364096,4
8192,64,8360843395.000000,8287454700.000000,2.766398,8145374142,20937382084,7952337158,0,100667326,12884377600,4
10240,64,15003198236.000000,14876709033.333334,5.107046,14652623690,32714788845,12425493577,0,157291428,20132003840,4
12288,64,23392934351.000000,23120682100.000000,8.004490,23159066563,47109532106,17892790836,0,226498454,28990242816,4
14336,64,32644165723.000000,32905467700.000000,11.257600,32375888051,64121492163,24354109234,0,308288401,39459094528,4
