n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,64,93807.000000,94595.507812,0.000033,173996,202626,136053,65536,1037,0,4
64,64,350618.000000,346799.218750,0.000120,346004,808748,542463,262144,4141,0,4
128,64,1473900.000000,1480993.750000,0.000509,1456441,3231377,2166308,1048576,16493,0,4
256,64,6393457.000000,6396433.333333,0.002223,6458819,12917870,8657797,4194304,65769,0,4
512,64,22082286.000000,22315983.333333,0.007646,22501388,51658669,34618824,16777216,262629,0,4
1024,64,97638766.000000,97222500.000000,0.033781,96904405,206601260,138442825,67108864,1049571,0,4
2048,64,428715284.000000,436863733.333333,0.151042,393194678,826341160,553709397,268435456,4196307,0,4
4096,64,1630887171.000000,1637106066.666667,0.580227,1468423564,3305231946,2214708861,1073741824,16781261,0,4
6144,64,4418423653.000000,4223117266.666667,1.451659,3981823288,7436684462,4983010543,2415919104,37754815,0,4
8192,64,8627835066.000000,8590474733.333332,2.991705,8009136656,13220714804,8858630518,4294967296,67116990,0,4
10240,64,14650260387.000000,14750271933.333334,5.065932,13706078283,20657229889,13841475741,6710886400,104867748,0,4
12288,64,21590724392.000000,21319427333.333336,7.390668,19903964876,29746391586,19931708044,9663676416,151007126,0,4
14336,64,29247086892.000000,29159875066.666668,10.213895,27269278714,40488080163,27129207698,13153337344,205535121,0,4
