n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
4096,64,4827785092.000000,4810872833.333334,1.645080,4719367104,4856738380,3221088881,1610481664,25167835,0,5
4096,64,4784665804.000000,4787599366.666666,1.656220,4733909081,4856738286,3221088774,1610481664,25167848,0,10
4096,64,4802582555.000000,4811183133.333334,1.665777,4794143542,4856743691,3221094174,1610481664,25167853,0,20
4096,64,4796695439.000000,4787064800.000000,1.651608,4746371864,4856743732,3221094215,1610481664,25167853,0,30
4096,64,4826280765.000000,4816393466.666666,1.658040,4810175643,4856743707,3221094190,1610481664,25167853,0,40
4096,64,4816579559.000000,4789048400.000000,1.647762,4740975354,4856743710,3221094193,1610481664,25167853,0,50
4096,64,4811569983.000000,4811997066.666666,1.654120,4782126477,4856743736,3221094219,1610481664,25167853,0,60
4096,64,4906762106.000000,4884855700.000000,1.688497,4831148620,4856743695,3221094178,1610481664,25167853,0,70
4096,64,4827583136.000000,4827956733.333334,1.661893,4810699622,4856743693,3221094176,1610481664,25167853,0,80
4096,64,4809775260.000000,4855421666.666666,1.655320,4763482496,4856743698,3221094181,1610481664,25167853,0,90
4096,64,4847594102.000000,4823818433.333334,1.684465,4856833728,4856743722,3221094205,1610481664,25167853,0,100
