n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
4096,64,1521497344.000000,1500630133.333333,0.521703,1514451692,5259358796,2013227633,0,25167835,3220963328,5
4096,64,1482896063.000000,1483851700.000000,0.518104,1486761863,5259358702,2013227526,0,25167848,3220963328,10
4096,64,1465608612.000000,1432974100.000000,0.497210,1415754640,5259364107,2013232926,0,25167853,3220963328,20
4096,64,1489583173.000000,1418893633.333333,0.494031,1403171247,5259364148,2013232967,0,25167853,3220963328,30
4096,64,1453919814.000000,1474795000.000000,0.495503,1423285412,5259364123,2013232942,0,25167853,3220963328,40
4096,64,1434585630.000000,1472383166.666667,0.491763,1409449063,5259364126,2013232945,0,25167853,3220963328,50
4096,64,1466794006.000000,1471628200.000000,0.503706,1442044845,5259364152,2013232971,0,25167853,3220963328,60
4096,64,1513029257.000000,1459655066.666667,0.520842,1455636560,5259364111,2013232930,0,25167853,3220963328,70
4096,64,1441178857.000000,1444611800.000000,0.510856,1422547473,5259364109,2013232928,0,25167853,3220963328,80
4096,64,1492108647.000000,1459828100.000000,0.497127,1426064582,5259364114,2013232933,0,25167853,3220963328,90
4096,64,1444916677.000000,1447270133.333333,0.492853,1422948610,5259364138,2013232957,0,25167853,3220963328,100
