n,d,r,c,t,p,sd,pd128,pd256
32,20,131038.000000,125334.895833,0.000049,214906,94360,94360,0,0
64,20,616655.000000,590254.166667,0.000246,617593,378252,378252,0,0
128,20,2335275.000000,2239087.500000,0.000861,2277263,1514533,1514533,0,0
256,20,9456024.000000,8770666.666667,0.003387,8806672,6060530,6060530,0,0
512,20,35170204.000000,33721133.333333,0.013247,34316746,24245440,24245440,0,0
1024,20,141263418.000000,135382000.000000,0.052382,135203458,96987657,96987657,0,0
2048,20,582578738.000000,558213933.333333,0.215303,556124030,387958412,387958412,0,0
4096,20,2346470934.000000,2250151800.000000,0.866001,2244313805,1551869472,1551869472,0,0
6144,20,5250656798.000000,5027230000.000000,1.953351,5020495438,3491716426,3491716426,0,0
8192,20,9243814049.000000,8858264133.333332,3.410497,8846821925,6207527655,6207527655,0,0
10240,20,14858903034.000000,14236595533.333334,5.477994,14205200512,9699270551,9699270551,0,0
12288,20,21749793951.000000,20841356466.666664,8.018576,20799697789,13966967745,13966967727,3,3
14336,20,29708423274.000000,28458587733.333332,10.951280,28386097265,19010612796,19010612796,0,0
