n,d,r,c,t,p,sd,pd128,pd256
32,20,69501.000000,66460.807292,0.000026,73704,98920,4680,1520,22800
64,20,386736.000000,358860.937500,0.000138,368903,396588,17644,6112,91680
128,20,1411572.000000,1313379.166667,0.000505,1391295,1588069,68325,24512,367680
256,20,5355156.000000,5128608.333333,0.001974,5127954,6355058,268146,98176,1472640
512,20,19882345.000000,19082266.666667,0.007340,19051772,25424320,1060800,392960,5894400
1024,20,80192068.000000,76890666.666667,0.030206,76858719,101704713,4218889,1572352,23585280
2048,20,342112248.000000,327914600.000000,0.126761,326500347,406829708,16822924,6290432,94356480
4096,20,1375638394.000000,1319662933.333333,0.508651,1315944917,1627360800,67206688,25163776,377456640
6144,20,3063283768.000000,2934452733.333333,1.129517,2973278999,3661576522,151134538,56620032,849300480
8192,20,5334786242.000000,5116469800.000000,1.967233,5098566453,6509505255,268634855,100659200,1509888000
10240,20,8901954814.000000,8536144066.666667,3.285178,8505627159,10171114391,419675031,157281280,2359219200
12288,20,13180826147.000000,12609333533.333334,4.859066,12590026063,14646426561,604277679,226486275,3397294083
14336,20,18055865237.000000,17282609933.333336,6.576558,17030913853,19935435324,822436412,308274176,4624112640
