n,d,r,c,t,p,sd,pd128,pd256
32,20,74514.000000,71178.385417,0.000027,79459,98920,4680,1520,22800
64,20,337176.000000,329712.500000,0.000124,331375,396588,17644,6112,91680
128,20,1224615.000000,1175010.416667,0.000452,1272427,1588069,68325,24512,367680
256,20,4423635.000000,4244175.000000,0.001637,4256465,6355058,268146,98176,1472640
512,20,17054969.000000,16343166.666667,0.006265,16258733,25424320,1060800,392960,5894400
1024,20,68466787.000000,65536466.666667,0.025347,69733606,101704713,4218889,1572352,23585280
2048,20,291529470.000000,273614466.666667,0.104991,272551470,406829708,16822924,6290432,94356480
4096,20,1169983951.000000,1121059333.333333,0.432589,1124912672,1627360800,67206688,25163776,377456640
6144,20,2638131545.000000,2523495866.666667,0.972388,2523493222,3661576522,151134538,56620032,849300480
8192,20,4735351122.000000,4543973200.000000,1.744211,4526218770,6509505255,268634855,100659200,1509888000
10240,20,7419605860.000000,7102174733.333333,2.727756,7082841427,10171114391,419675031,157281280,2359219200
12288,20,10970555672.000000,10513238666.666668,4.041943,10473923129,14646426561,604277679,226486275,3397294083
14336,20,15368561530.000000,14718126800.000000,5.677389,14729138519,19935435324,822436412,308274176,4624112640
