n,d,r,c,t,p,sd,pd128,pd256
32,20,110131.000000,103851.041667,0.000040,110204,151112,4936,2316,35386
64,20,468952.000000,448960.416667,0.000173,515384,621367,19767,9528,145636
128,20,1554765.000000,1490747.916667,0.000577,1499894,2138922,67370,32880,501448
256,20,6192386.000000,5939483.333333,0.002286,5891454,8752474,272730,134544,2052664
512,20,24655789.000000,23706800.000000,0.009080,23528010,34905519,1081519,536692,8187654
1024,20,100391424.000000,96188733.333333,0.036896,95500648,136767147,4225195,2103736,32083620
2048,20,430370263.000000,412225666.666667,0.159802,410553383,547055976,16868712,8415248,128339192
4096,20,1835425435.000000,1753162666.666667,0.665524,1725324554,2183431246,67260238,33589460,512248022
6144,20,4069391366.000000,3894755800.000000,1.497546,3875961771,4917941358,151440494,75656224,1153797104
8192,20,7257500873.000000,6949783533.333333,2.683828,6939980178,8728677187,268742979,134283624,2047841740
10240,20,11693414542.000000,11201832200.000000,4.305967,11161009895,13637549114,419836218,209803564,3199526442
12288,20,17131009081.000000,16425904733.333334,6.303155,16336556377,19665239741,605335229,302529600,4613711328
14336,20,23575801713.000000,22577256866.666668,8.686649,22500236826,26767697658,823909882,411794212,6280049838
