n,d,r,c,t,p,sd,pd128,pd256
32,20,99254.000000,94737.500000,0.000036,114517,65160,63112,0,512
64,20,436241.000000,418078.645833,0.000161,466257,259436,251244,0,2048
128,20,1754107.000000,1717083.333333,0.000646,1725546,1035237,1002469,0,8192
256,20,7136230.000000,6710275.000000,0.002580,6833515,4135282,4004210,0,32768
512,20,26989758.000000,25691900.000000,0.009902,26217173,16528320,16004032,0,131072
1024,20,109321319.000000,104632666.666667,0.040427,104861526,66086921,63989769,0,524288
2048,20,491053051.000000,470742133.333333,0.181663,431318569,264290956,255902348,0,2097152
4096,20,1948354835.000000,1860768866.666667,0.715890,1715009864,1057070624,1023516192,0,8388608
6144,20,4328288533.000000,4146188800.000000,1.597506,3816923962,2378322250,2302824778,0,18874368
8192,20,7599690186.000000,7283986666.666667,2.805028,6706091878,4228074215,4093856487,0,33554432
10240,20,12392532133.000000,11870865933.333334,4.565811,10952906032,6606293911,6396578711,0,52428800
12288,20,18389576559.000000,17602489666.666664,6.775946,16244326403,9513003969,9211014063,3,75497475
14336,20,25068112372.000000,24012182133.333332,9.244491,22168339020,12948197948,12537156156,0,102760448
