n,d,r,c,t,p,sd,pd128,pd256
32,20,95837.000000,93070.182292,0.000035,187758,65160,63112,1024,0
64,20,468927.000000,449292.187500,0.000183,560545,259436,251244,4096,0
128,20,1845087.000000,1888656.250000,0.000672,1806841,1035237,1002469,16384,0
256,20,7143157.000000,6848075.000000,0.002675,6957606,4135282,4004210,65536,0
512,20,27740271.000000,26576766.666667,0.010217,28848949,16528320,16004032,262144,0
1024,20,112780465.000000,108860266.666667,0.041587,108892492,66086921,63989769,1048576,0
2048,20,500424055.000000,481723666.666667,0.189769,443282230,264290956,255902348,4194304,0
4096,20,1998904117.000000,1916709600.000000,0.736568,1772031039,1057070624,1023516192,16777216,0
6144,20,4480247417.000000,4290802533.333333,1.652737,3969256949,2378322250,2302824778,37748736,0
8192,20,7934286954.000000,7597871666.666667,2.922030,7004799007,4228074215,4093856487,67108864,0
10240,20,12896647272.000000,12351177800.000000,4.755775,11435431756,6606293911,6396578711,104857600,0
12288,20,18973047174.000000,18175223733.333336,6.993588,16843677904,9513003969,9211014063,150994947,3
14336,20,25969300656.000000,24883942200.000000,9.574296,23032904047,12948197948,12537156156,205520896,0
