n,d,r,c,t,p,sd,pd128,pd256
32,20,58206.000000,55263.541667,0.000021,64691,68232,2696,1024,15872
64,20,266803.000000,252108.593750,0.000099,378490,271720,9576,4096,63488
128,20,1076890.000000,1031617.708333,0.000399,1070052,1084384,35808,16384,253952
256,20,4433059.000000,4245366.666667,0.001636,4246229,4331630,137326,65536,1015808
512,20,16036690.000000,15335666.666667,0.006024,15465765,17313444,536228,262144,4063232
1024,20,67248895.000000,64391600.000000,0.024785,64151575,69227883,2119019,1048576,16252928
2048,20,329640060.000000,316765800.000000,0.122564,281354438,276873842,8438386,4194304,65011712
4096,20,1308256066.000000,1250802800.000000,0.481800,1110641569,1107401457,33659633,16777216,260046848
6144,20,2917292988.000000,2791932866.666667,1.075497,2475421400,2491587752,75668648,37748736,585105408
8192,20,5079912208.000000,4868604000.000000,1.874052,4293367061,4429423804,134456508,67108864,1040187392
10240,20,8565065892.000000,8216907400.000000,3.158508,7293717897,6920896282,210009882,104857600,1625292800
12288,20,12837815209.000000,12300240333.333334,4.728629,10938060962,9966046624,302370208,150994944,2340421632
14336,20,17650156381.000000,16906924666.666666,6.503043,15075965003,13564820187,411482843,205520896,3185573888
