n,d,r,c,t,p,sd,pd128,pd256
32,20,88085.000000,86165.625000,0.000021,95481,68000,2464,1024,15872
64,20,282864.000000,271293.750000,0.000104,272728,271240,9096,4096,63488
128,20,933480.000000,895171.875000,0.000346,962291,1083813,35237,16384,253952
256,20,3482660.000000,3340945.833333,0.001290,3324377,4329381,135077,65536,1015808
512,20,13504457.000000,12958400.000000,0.005004,13326562,17310568,533352,262144,4063232
1024,20,56709504.000000,54260266.666667,0.021035,53973309,69225534,2116670,1048576,16252928
2048,20,279389108.000000,267777466.666667,0.103642,234875715,276865844,8430388,4194304,65011712
4096,20,1132741095.000000,1083704266.666667,0.416040,941835254,1107382496,33640672,16777216,260046848
6144,20,2583913633.000000,2472922400.000000,0.947740,2143068543,2491550463,75631359,37748736,585105408
8192,20,4611973850.000000,4423637400.000000,1.706057,3858733890,4429369008,134401712,67108864,1040187392
10240,20,7436480867.000000,7127047200.000000,2.729722,6210118472,6920840905,209954505,104857600,1625292800
12288,20,10978650390.000000,10516195733.333332,4.033424,9169913832,9965955862,302279446,150994944,2340421632
14336,20,15678838714.000000,15019709466.666666,5.786541,13235954135,13564712727,411375383,205520896,3185573888
