n,d,r,c,t,p,sd,pd128,pd256
32,20,78593.000000,75555.729167,0.000029,81790,68100,2564,1024,15872
64,20,242810.000000,232334.375000,0.000090,290539,271477,9333,4096,63488
128,20,804642.000000,770331.250000,0.000295,829960,1083902,35326,16384,253952
256,20,2938959.000000,2810275.000000,0.001093,2867969,4330403,136099,65536,1015808
512,20,11501192.000000,10671916.666667,0.004121,11126376,17313358,536142,262144,4063232
1024,20,48047428.000000,46090200.000000,0.017741,45851831,69229158,2120294,1048576,16252928
2048,20,247779047.000000,237029866.666667,0.091154,203952509,276874040,8438584,4194304,65011712
4096,20,992998303.000000,952100933.333333,0.366979,810341906,1107398612,33656788,16777216,260046848
6144,20,2224613211.000000,2132422933.333333,0.823746,1820640658,2491579303,75660199,37748736,585105408
8192,20,4043628245.000000,3868539133.333333,1.486360,3284680320,4429397004,134429708,67108864,1040187392
10240,20,6406980835.000000,6129406400.000000,2.370513,5246984006,6920872670,209986270,104857600,1625292800
12288,20,9561895438.000000,9157624666.666668,3.514926,7827687950,9965988649,302312233,150994944,2340421632
14336,20,13563008083.000000,12994009600.000000,4.989475,11171436098,13564757541,411420197,205520896,3185573888
