n,d,r,c,t,p,sd,pd128,pd256
32,128,519822.000000,497927.083333,0.000192,583552,396975,394927,0,512
64,128,2160719.000000,2073147.916667,0.000797,2137229,1586640,1578448,0,2048
128,128,8430925.000000,8080475.000000,0.003112,8048272,6343623,6310855,0,8192
256,128,33438582.000000,31923233.333333,0.012285,32654847,25369239,25238167,0,32768
512,128,135949505.000000,130214066.666667,0.049794,129706586,101462739,100938451,0,131072
1024,128,541963944.000000,519181866.666667,0.200225,517510245,405829477,403732325,0,524288
2048,128,2274119506.000000,2175591600.000000,0.838221,2123792652,1623249796,1614861188,0,2097152
4096,128,9707649360.000000,9292771800.000000,3.577544,9067192787,6492902868,6459348436,0,8388608
6144,128,21931645249.000000,21003457800.000000,8.085233,20532704684,14608923709,14533426237,0,18874368
8192,128,39305614234.000000,37644894733.333328,14.491498,36835700269,25971344335,25837126607,0,33554432
10240,128,61470721529.000000,58863435800.000000,22.657192,57617755223,40580152905,40370437705,0,52428800
12288,128,88801359561.000000,85067934466.666656,32.753629,83298761134,58435404732,58133414844,0,75497472
14336,128,121313427966.000000,116258925466.666672,44.749823,113803688123,79536997409,79125955617,0,102760448
