n,d,r,c,t,p,sd,pd128,pd256
32,128,518952.000000,504623.437500,0.000191,589999,396975,394927,0,512
64,128,2154434.000000,2066133.333333,0.000795,2149837,1586640,1578448,0,2048
128,128,8427397.000000,8079066.666667,0.003109,8293412,6343623,6310855,0,8192
256,128,33293324.000000,31911966.666667,0.012275,31835542,25369239,25238167,0,32768
512,128,134904079.000000,129182733.333333,0.049736,130561536,101462739,100938451,0,131072
1024,128,541360628.000000,518945266.666667,0.199815,516618115,405829477,403732325,0,524288
2048,128,2282544803.000000,2185962133.333333,0.841032,2139058890,1623249796,1614861188,0,2097152
4096,128,9693755248.000000,9277522800.000000,3.572764,9054869548,6492902868,6459348436,0,8388608
6144,128,21908084537.000000,20983521000.000000,8.082419,20516110424,14608923709,14533426237,0,18874368
8192,128,39316390336.000000,37656482066.666672,14.498769,36840698002,25971344335,25837126607,0,33554432
10240,128,61442401577.000000,58845595466.666664,22.660392,57610988876,40580152905,40370437705,0,52428800
12288,128,88840461459.000000,85088490933.333344,32.768052,83320156400,58435404732,58133414844,0,75497472
14336,128,121320008257.000000,116206213066.666672,44.766465,113897963485,79536997409,79125955617,0,102760448
