n,d,r,c,t,p,sd,pd128,pd256
32,128,519277.000000,497642.708333,0.000192,586828,396975,394927,0,512
64,128,2159172.000000,2067622.916667,0.000795,2135030,1586640,1578448,0,2048
128,128,8431017.000000,8173316.666667,0.003108,8230146,6343623,6310855,0,8192
256,128,33305830.000000,32265133.333333,0.012313,32782285,25369239,25238167,0,32768
512,128,136126253.000000,129231266.666667,0.049946,129047706,101462739,100938451,0,131072
1024,128,541867704.000000,518727733.333333,0.199697,516943920,405829477,403732325,0,524288
2048,128,2247463216.000000,2154453600.000000,0.830058,2118009871,1623249796,1614861188,0,2097152
4096,128,9712093019.000000,9299455533.333332,3.583778,9076465823,6492902868,6459348436,0,8388608
6144,128,21928692434.000000,20987998200.000000,8.080812,20537709714,14608923709,14533426237,0,18874368
8192,128,39347041244.000000,37678621066.666672,14.504919,36885977781,25971344335,25837126607,0,33554432
10240,128,61453045269.000000,58841802933.333336,22.655445,57632759036,40580152905,40370437705,0,52428800
12288,128,88829291589.000000,85090583066.666656,32.767097,83297609411,58435404732,58133414844,0,75497472
14336,128,121406252379.000000,116235479533.333328,44.717584,113788633266,79536997409,79125955617,0,102760448
