n,d,r,c,t,p,sd,pd128,pd256
32,8,62342.000000,59545.247396,0.000023,143629,44228,4708,1520,9120
64,8,291410.000000,277543.229167,0.000106,292699,176667,17755,6112,36672
128,8,1067468.000000,1015922.916667,0.000397,1024193,705619,68307,24512,147072
256,8,3811149.000000,3655708.333333,0.001405,3677793,2820828,268252,98176,589056
512,8,14251093.000000,13851716.666667,0.005272,13653651,11276938,1059978,392960,2357760
1024,8,55068938.000000,52716733.333333,0.020364,52808814,45096647,4215495,1572352,9434112
2048,8,224869581.000000,215503600.000000,0.082697,214853885,180370774,16819542,6290432,37742592
4096,8,948072842.000000,907566400.000000,0.351322,920448933,721476650,67218474,25163776,150982656
6144,8,2099507677.000000,2012700733.333333,0.771578,2005959813,1623260525,151139693,56620032,339720192
8192,8,3747410312.000000,3590284533.333333,1.376613,3582576040,2885787076,268647876,100659200,603955200
10240,8,6000098095.000000,5751551866.666667,2.218459,5750067549,4509004919,419691639,157281280,943687680
12288,8,8757790899.000000,8392113600.000000,3.222029,8357571399,6492948964,604305892,226486272,1358917632
14336,8,11946898875.000000,11454183000.000000,4.395683,11398769325,8837587376,822458800,308274176,1849645056
