n,d,r,c,t,p,sd,pd128,pd256
32,8,70460.000000,67413.802083,0.000026,115090,44228,4708,1520,9120
64,8,345805.000000,330017.187500,0.000125,337646,176667,17755,6112,36672
128,8,1288626.000000,1212710.416667,0.000468,1223225,705619,68307,24512,147072
256,8,4685757.000000,4588891.666667,0.001738,4605595,2820828,268252,98176,589056
512,8,18150312.000000,17372333.333333,0.006735,17593033,11276938,1059978,392960,2357760
1024,8,66851747.000000,64035400.000000,0.024828,64383853,45096647,4215495,1572352,9434112
2048,8,272857663.000000,264758000.000000,0.101398,271269555,180370774,16819542,6290432,37742592
4096,8,1181477930.000000,1133023666.666667,0.437193,1136379592,721476650,67218474,25163776,150982656
6144,8,2463227261.000000,2363800400.000000,0.915753,2372858055,1623260525,151139693,56620032,339720192
8192,8,4373712502.000000,4193674333.333333,1.623530,4208867485,2885787076,268647876,100659200,603955200
10240,8,7314587404.000000,7013120400.000000,2.681534,7016433720,4509004919,419691639,157281280,943687680
12288,8,10782031626.000000,10328255600.000000,3.997100,10369255063,6492948964,604305892,226486272,1358917632
14336,8,14769893434.000000,14157484466.666666,5.421610,14036779427,8837587376,822458800,308274176,1849645056
