n,d,r,c,t,p,all,add_sub,mult,div_sqrt,mult_add
32,4,163057.000000,161425.781250,0.000055,226066,20753,11156,4096,1533,3968,4
64,4,614670.000000,697434.895833,0.000221,613054,83010,44345,16384,6153,16128,4
128,4,2652018.000000,2703887.500000,0.000922,2653585,329557,174393,65536,24604,65024,4
256,4,11098976.000000,9386575.000000,0.004047,10559719,1313659,692044,262144,98351,261120,4
512,4,36702690.000000,36747833.333333,0.012705,36565552,5250107,2761702,1048576,393301,1046528,4
1024,4,152709708.000000,152082766.666667,0.052635,151322204,20992978,11035464,4194304,1573002,4190208,4
2048,4,752526974.000000,752597366.666667,0.260619,749376288,83945142,44107243,16777216,6291659,16769024,4
4096,4,2245430260.000000,2246979933.333333,0.784326,2266951371,335738917,176371442,67108864,25166131,67092480,4
6144,4,5597929769.000000,5616832133.333334,1.936634,5577772881,755453934,396865097,150994944,56623525,150970368,4
8192,4,9064738442.000000,9118670100.000000,3.140199,9019186412,1342957653,705455708,268435456,100663801,268402688,4
10240,4,13572968107.000000,13613939800.000000,4.714406,13526262641,2098338702,1102231865,419430400,157286997,419389440,4
12288,4,21081983588.000000,20944127700.000000,7.258077,20863930712,3021707365,1587303875,603979776,226493090,603930624,4
14336,4,28752804918.000000,28773914066.666668,10.019043,28655000710,4112777669,2160385784,822083584,308282061,822026240,4
