n,d,r,c,t,p,sd,pd128,pd256
32,4,42115.000000,37394.466146,0.000015,44677,14761,425,0,3584,4
64,4,152555.000000,152838.020833,0.000058,153742,58289,945,0,14336,4
128,4,559797.000000,536155.208333,0.000212,653191,232404,3028,0,57344,4
256,4,1855050.000000,1878662.500000,0.000698,1815332,923631,6127,0,229376,4
512,4,6532699.000000,6634008.333333,0.002455,6569442,3688343,18327,0,917504,4
1024,4,27881580.000000,27025700.000000,0.010546,27116337,14722541,42477,0,3670016,4
2048,4,158436064.000000,149047600.000000,0.057498,149429729,58838462,118206,0,14680064,4
4096,4,622281375.000000,594689333.333333,0.231813,464881492,235226065,345041,0,58720256,4
6144,4,1381866180.000000,1366147466.666667,0.513800,996653791,529311812,829508,0,132120576,4
8192,4,2490169050.000000,2389855866.666667,0.913958,1748523295,941206831,1682735,0,234881024,4
10240,4,3853537113.000000,3687844333.333333,1.414957,2751580078,1470395309,2388909,0,367001600,4
12288,4,5567303992.000000,5336237400.000000,2.043629,4138030511,2117126636,3197420,0,528482304,4
14336,4,7485586291.000000,7427049933.333333,2.759579,5391667015,2881906572,4614028,0,719323136,4
