n,d,r,c,t,p,sd,pd128,pd256
32,4,61208.000000,58653.190104,0.000023,97509,14856,520,0,3584,4
64,4,177005.000000,174108.593750,0.000065,178687,58530,1186,0,14336,4
128,4,558597.000000,527041.666667,0.000231,577736,231633,2257,0,57344,4
256,4,1817517.000000,1753672.916667,0.000712,1926387,922590,5086,0,229376,4
512,4,6963829.000000,6976016.666667,0.002556,6873890,3680667,10651,0,917504,4
1024,4,32275161.000000,29643900.000000,0.011856,30070332,14704011,23947,0,3670016,4
2048,4,188914205.000000,178247333.333333,0.082359,175194986,58769996,49740,0,14680064,4
4096,4,739370272.000000,704058333.333333,0.279512,564613746,234985016,103992,0,58720256,4
6144,4,1669189569.000000,1606064200.000000,0.613347,1247737274,528646553,164249,0,132120576,4
8192,4,3008387706.000000,2819720800.000000,1.090860,2214113320,939751622,227526,0,234881024,4
10240,4,4556446868.000000,4448044466.666666,1.683549,3426097012,1468289865,283465,0,367001600,4
12288,4,6664010729.000000,6411388533.333333,2.476375,5081720464,2114278123,348907,0,528482304,4
14336,4,9145587974.000000,8935072466.666668,3.369756,6922834070,2877679032,386488,0,719323136,4
